Year_local,DOY,daytime,FC,LE,TA,RECO,GPP,SWC,TS
2022,176.2707,1,2.6619625000000005,55.358975,23.6179,10.071503866536968,7.409541366536968,18.225649,18.7
2022,176.2916,1,-3.45862,132.2955,23.6213,10.064884074362457,13.523504074362457,18.241165000000002,18.6
2022,176.3124,1,8.490275,19.346475,21.0549,9.367675427788532,0.8774004277885314,18.252802000000003,18.51
2022,176.3332,1,-10.35406,148.28556,21.4187,9.458508651072146,19.812568651072148,18.268318,18.43
2022,176.3541,1,3.66636,57.9448,24.1809,10.192018475943918,6.525658475943918,18.264439,18.37
2022,176.3749,1,5.210675,40.0543,23.4706,9.994429961824906,4.783754961824906,18.26056,18.3
2022,176.3957,1,6.75499,22.1638,23.0571,9.876308506,3.121318506,18.268318,18.2
2022,176.4165,1,-17.85160167,242.73396666666667,22.046,9.598261076944542,27.44986274361121,18.276076,18.13
2022,176.4374,1,5.0263100000000005,25.88340833333333,21.1033,9.338549354,4.312239354415679,18.279955,18.07
2022,176.4582,1,-24.523575,316.862,21.3964,9.410001332946395,33.933576332946394,18.291592,18
2022,176.479,1,9.462695,13.5277,21.7071,9.486013414075504,0.023318414,18.276076,17.95
2022,176.4999,1,-26.0333,350.77133333333336,21.6203,9.455671749,35.48897174940016,18.307108,17.9
2022,176.5207,1,9.758595,13.671675,23.1527,9.857259127,0.098664127,18.295471,17.9
2022,176.5415,1,-26.66335,455.584,24.0135,10.078742243264667,36.742092243264665,18.310987,17.82
2022,176.5624,1,-18.30235,280.5665,24.499,10.199960721595987,28.502310721595983,18.295471,17.8
2022,176.5832,1,-21.7073,419.8795,24.2329,10.12171173722963,31.829011737229628,18.326503,17.8
2022,176.604,1,-8.31056,114.3247,21.4903,9.385409235,17.69596923517895,18.310987,17.8
2022,176.6249,1,-18.69126667,351.39133333333336,23.552,9.925985043,28.61725170962781,18.330382,17.8
2022,176.6457,1,2.8686640000000003,133.7884,24.8632,10.265379338168696,7.396715338168695,18.33814,17.8
2022,176.6665,1,-13.7038,258.654,25.2137,10.350078744342213,24.053878744342214,18.349777,17.8
2022,176.6873,1,2.5833166666666667,80.571475,25.2073,10.340540057723937,7.757223391,18.353655999999997,17.8
